location,min_infection_rate,max_infection_rate,min_death_rate,max_death_rate
"Libya",5.0470,5.0470,0.0666,0.0666
"Kazakhstan",5.0323,5.0323,0.0678,0.0678
"South Africa",4.6976,4.6976,0.1246,0.1246
"Fiji",4.6328,4.6328,0.0590,0.0590
"Namibia",4.4997,4.4997,0.1070,0.1070
"Samoa",4.2784,4.2784,0.0078,0.0078
"Eswatini",4.0417,4.0417,0.0838,0.0838
"Guatemala",4.0137,4.0137,0.0764,0.0764
"Bhutan",4.0001,4.0001,0.0014,0.0014
"Dominican Republic",3.9230,3.9230,0.0317,0.0317
"Iraq",3.8500,3.8500,0.0435,0.0435
"Ecuador",3.7181,3.7181,0.1506,0.1506
"Mexico",3.6434,3.6434,0.1985,0.1985
"Thailand",3.5697,3.5697,0.0263,0.0263
"Jamaica",3.4105,3.4105,0.0769,0.0769
"Kiribati",3.1895,3.1895,0.0135,0.0135
"Honduras",3.1402,3.1402,0.0778,0.0778
"Vatican",2.9226,2.9226,0.0000,0.0000
"Tokelau",2.5094,2.5094,0.0000,0.0000
"Morocco",2.3253,2.3253,0.0319,0.0319
"Nepal",2.2288,2.2288,0.0274,0.0274
"Philippines",2.2034,2.2034,0.0359,0.0359
"India",2.1542,2.1542,0.0264,0.0264
"China",2.1416,2.1416,0.0029,0.0029
"Vanuatu",2.0884,2.0884,0.0025,0.0025
"El Salvador",2.0492,2.0492,0.0485,0.0485
"Sri Lanka",1.9687,1.9687,0.0475,0.0475
"Sao Tome and Principe",1.9099,1.9099,0.0244,0.0244
"Solomon Islands",1.7895,1.7895,0.0135,0.0135
"Saudi Arabia",1.6629,1.6629,0.0211,0.0211
"Laos",1.6005,1.6005,0.0050,0.0050
"Indonesia",1.5432,1.5432,0.0397,0.0397
"Gabon",1.4274,1.4274,0.0091,0.0091
"Venezuela",1.3219,1.3219,0.0143,0.0143
"Kyrgyzstan",1.2220,1.2220,0.0141,0.0141
"Timor",1.1379,1.1379,0.0065,0.0065
"Zambia",1.1193,1.1193,0.0142,0.0142
"Djibouti",1.0828,1.0828,0.0131,0.0131
"Lesotho",1.0330,1.0330,0.0225,0.0225
"Zimbabwe",1.0103,1.0103,0.0236,0.0236
"Mauritania",0.8827,0.8827,0.0157,0.0157
"Bangladesh",0.8245,0.8245,0.0124,0.0124
"Myanmar",0.7828,0.7828,0.0245,0.0245
"Equatorial Guinea",0.7316,0.7316,0.0085,0.0085
"Comoros",0.7207,0.7207,0.0152,0.0152
"Rwanda",0.6328,0.6328,0.0072,0.0072
"Cambodia",0.5216,0.5216,0.0115,0.0115
"Pakistan",0.4790,0.4790,0.0097,0.0097
"Mozambique",0.4695,0.4695,0.0047,0.0047
"Kenya",0.4426,0.4426,0.0077,0.0077
"Algeria",0.4286,0.4286,0.0113,0.0113
"Ghana",0.3725,0.3725,0.0031,0.0031
"Senegal",0.3650,0.3650,0.0083,0.0083
"Afghanistan",0.3526,0.3526,0.0138,0.0138
"Uzbekistan",0.3469,0.3469,0.0021,0.0021
"Gambia",0.3343,0.3343,0.0100,0.0100
"Cameroon",0.3189,0.3189,0.0051,0.0051
"Egypt",0.3187,0.3187,0.0160,0.0160
"Guinea-Bissau",0.3077,0.3077,0.0059,0.0059
"Malawi",0.2988,0.2988,0.0093,0.0093
"Congo",0.2933,0.2933,0.0046,0.0046
"Papua New Guinea",0.2890,0.2890,0.0041,0.0041
"Togo",0.2887,0.2887,0.0023,0.0023
"Ethiopia",0.2817,0.2817,0.0044,0.0044
"Uganda",0.2443,0.2443,0.0052,0.0052
"Burundi",0.2352,0.2352,0.0001,0.0001
"Cote d'Ivoire",0.2210,0.2210,0.0020,0.0020
"Haiti",0.2075,0.2075,0.0053,0.0053
"Central African Republic",0.2058,0.2058,0.0017,0.0017
"Guinea",0.2048,0.2048,0.0023,0.0023
"Angola",0.1946,0.1946,0.0038,0.0038
"Eritrea",0.1873,0.1873,0.0017,0.0017
"Syria",0.1768,0.1768,0.0101,0.0101
"Madagascar",0.1620,0.1620,0.0033,0.0033
"Nicaragua",0.1590,0.1590,0.0029,0.0029
"Tajikistan",0.1555,0.1555,0.0011,0.0011
"Benin",0.1407,0.1407,0.0009,0.0009
"South Sudan",0.1209,0.1209,0.0011,0.0011
"Somalia",0.1096,0.1096,0.0055,0.0055
"Liberia",0.1044,0.1044,0.0042,0.0042
"Sudan",0.0977,0.0977,0.0074,0.0074
"Mali",0.0968,0.0968,0.0025,0.0025
"Nigeria",0.0892,0.0892,0.0011,0.0011
"Sierra Leone",0.0689,0.0689,0.0012,0.0012
"Burkina Faso",0.0688,0.0688,0.0012,0.0012
"Democratic Republic of Congo",0.0648,0.0648,0.0011,0.0011
"Tanzania",0.0384,0.0384,0.0008,0.0008
"Chad",0.0313,0.0313,0.0009,0.0009
"Niger",0.0259,0.0259,0.0009,0.0009
"Yemen",0.0255,0.0255,0.0048,0.0048
